,File Name,Less Than 5 Pages,Greater Than 66 Pages,Page Count
,0586_001.pdf,No,No,5
,0588_001.pdf,No,No,25
,0589_001.pdf,No,No,20
,0590_001.pdf,No,No,27
,0591_001.pdf,No,No,28
,0592_001.pdf,No,No,48
,0593_001.pdf,No,No,43
,0594_001.pdf,No,No,15
,0595_001.pdf,No,No,15
,0596_001.pdf,No,No,18
,0597_001.pdf,No,No,22
,0598_001.pdf,No,No,16
,0599_001.pdf,No,No,19
,0600_001.pdf,No,No,17
,0601_001.pdf,Yes,No,3
,0602_001.pdf,No,No,9
,0603_001.pdf,No,No,8
,0604_001.pdf,No,No,10
,0605_001.pdf,No,No,14
,0606_001.pdf,No,No,7
,0607_001.pdf,No,No,11
,0608_001.pdf,No,No,16
,0609_001.pdf,No,No,12
,0610_001.pdf,No,No,9
,0611_001.pdf,No,No,16
,0612_001.pdf,No,No,24
,0613_001.pdf,No,No,30
,0614_001.pdf,No,No,28
,0615_001.pdf,No,No,10
,0616_001.pdf,No,No,18
,0617_001.pdf,No,No,18
,0618_001.pdf,No,No,24
,0619_001.pdf,No,No,24
,0620_001.pdf,No,No,35
,0621_001.pdf,No,No,33
,0622_001.pdf,No,No,22
,0623_001.pdf,No,No,24
,0624_001.pdf,No,No,31
,0625_001.pdf,No,No,12
,0626_001.pdf,No,No,29
,0627_001.pdf,No,No,37
,0628_001.pdf,No,No,16
,0629_001.pdf,No,No,16
,0630_001.pdf,No,No,16
,0631_001.pdf,No,No,21
,0632_001.pdf,No,No,34
,0633_001.pdf,No,No,29
,0634_001.pdf,No,No,18
,0635_001.pdf,No,No,12
,0636_001.pdf,No,No,11
,0637_001.pdf,No,No,16
,0638_001.pdf,No,No,14
,0639_001.pdf,No,No,17
,0640_001.pdf,No,No,13
,0641_001.pdf,Yes,No,3
,0642_001.pdf,No,No,35
,0643_001.pdf,No,No,23
,0644_001.pdf,No,No,27
,0645_001.pdf,No,No,20
,0646_001.pdf,No,No,21
,0648_001.pdf,No,No,32
,0649_001.pdf,No,No,39
,0650_001.pdf,No,Yes,73
,0651_001.pdf,No,No,55
,0652_001.pdf,No,No,15
,0653_001.pdf,No,No,23
,0654_001.pdf,No,No,31
,0655_001.pdf,No,No,39
,0656_001.pdf,No,No,48
,0657_001.pdf,No,No,45
,0658_001.pdf,No,No,26
,0659_001.pdf,No,No,40
,0660_001.pdf,No,No,22
,0661_001.pdf,No,No,12
,0662_001.pdf,No,No,15
,0663_001.pdf,No,No,21
,0664_001.pdf,No,No,21
,0665_001.pdf,No,No,24
,0666_001.pdf,No,No,24
,0667_001.pdf,No,No,21
,0668_001.pdf,No,No,21
,0669_001.pdf,No,No,21
,0670_001.pdf,No,No,54
,0671_001.pdf,No,No,33
,0672_001.pdf,No,No,42
,0673_001.pdf,No,No,55
,0674_001.pdf,No,No,50
,0675_001.pdf,No,No,45
,0676_001.pdf,No,No,36
,0677_001.pdf,No,No,27
,0678_001.pdf,No,No,30
,0679_001.pdf,No,No,36
,0680_001.pdf,No,No,30
,0681_001.pdf,No,No,10
,0682_001.pdf,No,No,30
,0683_001.pdf,No,No,21
,0684_001.pdf,No,No,21
,0685_001.pdf,No,No,24
,0686_001.pdf,No,No,27
,0687_001.pdf,No,No,30
,0688_001.pdf,No,No,27
,0689_001.pdf,No,No,21
,0690_001.pdf,No,No,21
,0691_001.pdf,No,No,17
,0692_001.pdf,No,No,20
,0693_001.pdf,No,No,10
,0694_001.pdf,No,No,27
,0695_001.pdf,No,No,33
,0696_001.pdf,No,No,30
,0697_001.pdf,No,No,21
,0698_001.pdf,No,No,11
,0699_001.pdf,No,No,34
,0700_001.pdf,No,No,42
,0701_001.pdf,No,No,48
,0702_001.pdf,No,No,17
,0703_001.pdf,No,No,14
,0704_001.pdf,No,No,16
,0705_001.pdf,No,No,16
,0706_001.pdf,No,No,10
,0707_001.pdf,No,No,61
,0708_001.pdf,No,Yes,89
,0709_001.pdf,No,No,49
Totals,122,2,2,3097
